JDTDB,Calendar Date,X,Y,Z,VX,VY,VZ,LT,RG,RR
2451606.500000000, A.D. 2000-Mar-03 00:00:00.0000, -2.256512785332822E+08,  1.956837507301219E+08, -1.170599488487801E+08, -1.649904520611196E+01, -1.197519488564648E+01,  9.631402477169202E+00,  1.070078927727011E+03,  3.208015919972848E+08,  7.862433334582700E-01
2451611.500000000, A.D. 2000-Mar-08 00:00:00.0000, -2.326934666357150E+08,  1.904373389809797E+08, -1.128556627067345E+08, -1.610184596864244E+01, -1.231204791124877E+01,  9.831558514694850E+00,  1.071301890787580E+03,  3.211682270992562E+08,  9.109670252245432E-01
2451616.500000000, A.D. 2000-Mar-13 00:00:00.0000, -2.395617327344801E+08,  1.850476359949331E+08, -1.085666427070376E+08, -1.569394792170316E+01, -1.263852227548674E+01,  1.002365680307207E+01,  1.072703790795049E+03,  3.215885061483654E+08,  1.034570312376755E+00
